x,y,species cloglog values
1.0,1.0,0.0029098834
2.0,2.0,0.014486223
3.0,3.0,0.0030641707
4.0,4.0,0.03921432
5.0,5.0,0.022969203
6.0,6.0,0.01518014
7.0,7.0,0.42227995
8.0,8.0,0.0095319105
9.0,9.0,0.64709306
10.0,10.0,0.6613165
11.0,11.0,0.004292974
12.0,12.0,0.37491345
13.0,13.0,0.065365426
14.0,14.0,0.0024627745
15.0,15.0,0.0078847995
16.0,16.0,0.0019480546
17.0,17.0,0.03081194
18.0,18.0,0.41590935
19.0,19.0,0.09228293
20.0,20.0,0.085466005
21.0,21.0,0.1748361
22.0,22.0,0.014296685
23.0,23.0,0.0048825494
24.0,24.0,0.01818252
25.0,25.0,0.02041407
26.0,26.0,0.013921571
27.0,27.0,0.13787523
28.0,28.0,0.020775942
29.0,29.0,0.016906213
30.0,30.0,0.18021101
31.0,31.0,0.14822337
32.0,32.0,0.54862916
33.0,33.0,0.007088369
34.0,34.0,0.22862418
35.0,35.0,0.0039398875
36.0,36.0,0.076260164
37.0,37.0,0.3782414
38.0,38.0,0.19764741
39.0,39.0,0.028716741
40.0,40.0,0.059108038
41.0,41.0,0.0040524094
42.0,42.0,0.6830128
43.0,43.0,0.03374623
44.0,44.0,0.0041740024
45.0,45.0,0.018995855
46.0,46.0,0.21659635
47.0,47.0,0.020701852
48.0,48.0,0.66311115
49.0,49.0,0.009041806
50.0,50.0,0.11920027
51.0,51.0,0.22177611
52.0,52.0,0.12737599
53.0,53.0,0.6619042
54.0,54.0,0.0028996207
55.0,55.0,0.038493432
56.0,56.0,0.08394971
57.0,57.0,0.16061485
58.0,58.0,0.002771905
59.0,59.0,0.0041500623
60.0,60.0,0.07911494
61.0,61.0,0.17658935
62.0,62.0,0.09503984
63.0,63.0,0.0033323038
64.0,64.0,0.37960932
65.0,65.0,0.001308607
66.0,66.0,0.008730409
67.0,67.0,0.12722729
68.0,68.0,0.5645312
69.0,69.0,0.24598178
70.0,70.0,0.4473318
71.0,71.0,0.38693705
72.0,72.0,0.4251611
73.0,73.0,0.0027890406
74.0,74.0,0.007257274
75.0,75.0,0.003201585
76.0,76.0,0.09648897
77.0,77.0,0.45408976
78.0,78.0,0.04220881
79.0,79.0,0.7120146
80.0,80.0,0.026154576
81.0,81.0,0.009105789
82.0,82.0,0.020899748
83.0,83.0,0.26335102
84.0,84.0,0.13254522
85.0,85.0,0.02327343
86.0,86.0,0.00458449
87.0,87.0,0.66327095
88.0,88.0,0.004673541
89.0,89.0,0.002760439
90.0,90.0,0.70304984
91.0,91.0,0.18823189
92.0,92.0,0.6109947
93.0,93.0,0.0058923606
94.0,94.0,0.012822357
95.0,95.0,0.018545272
96.0,96.0,0.0140247345
97.0,97.0,0.07279823
98.0,98.0,0.25573823
99.0,99.0,0.0014099792
100.0,100.0,0.3606167
101.0,101.0,0.37466398
102.0,102.0,0.30997413
103.0,103.0,0.0011025259
104.0,104.0,0.15859449
