Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.17343E-8,0.000009173,0.000161109,1,0,0
1.0943E-7,0.000020116,0.000192184,0.999597747,0,0
2.92156E-7,0.000049332,0.000513011,0.999195495,0,0
3.06248E-7,0.000079957,0.000537748,0.998793242,0,0
4.05442E-7,0.000120501,0.000711865,0.99839099,0,0
4.84817E-7,0.000254519,0.00085117,0.997184232,0,0
7.3899E-7,0.000507868,0.00129712,0.995575221,0,0
8.97823E-7,0.001071175,0.001575693,0.992759453,0,0
1.3081E-6,0.002532031,0.002294914,0.987530169,0,0
1.43344E-6,0.005035196,0.002514524,0.980289622,0,0
1.62984E-6,0.010157482,0.002858553,0.967015286,0,0
2.38143E-6,0.02521422,0.004174002,0.935639582,0,0
3.92708E-6,0.050340475,0.006873793,0.902654867,0,0
6.65635E-6,0.100112918,0.011623132,0.864440869,0,0
1.25218E-5,0.200418077,0.021753169,0.821399839,0,0
1.91128E-5,0.300322855,0.033012524,0.795655672,0.000655308,0
2.51276E-5,0.400216965,0.043174327,0.777152051,0.001965924,0
3.35979E-5,0.500805177,0.057303874,0.763475463,0.003931848,0
4.204E-5,0.602183369,0.071178818,0.752614642,0.003931848,0
4.93137E-5,0.702002171,0.082969515,0.743765084,0.003931848,0
5.19068E-5,0.752583442,0.087136647,0.739742558,0.003931848,0
5.5729E-5,0.801332055,0.093244545,0.736122285,0.004587156,0
6.01231E-5,0.905435349,0.100215759,0.728881738,0.005242464,0
6.57366E-5,1.000413734,0.109043546,0.722847949,0.005242464,0
7.3723E-5,1.105478591,0.121454096,0.716814159,0.005897772,0
8.09565E-5,1.206236501,0.132545222,0.711584875,0.007208388,0
9.09458E-5,1.301030735,0.147632258,0.707160097,0.008519004,0
9.80906E-5,1.405154823,0.158261816,0.702735318,0.009174312,0
1.07609E-4,1.506847858,0.172216672,0.698712792,0.009174312,0
1.19674E-4,1.759549695,0.18957479,0.689863234,0.01310616,0
1.34681E-4,2.010810076,0.210655883,0.681818182,0.015072084,0
1.44531E-4,2.262763949,0.224195061,0.674577635,0.015727392,0
1.60749E-4,2.510595396,0.245981784,0.668141593,0.019003932,0
1.7398E-4,2.761733002,0.263302992,0.662107804,0.020314548,0
1.88457E-4,3.017304453,0.281798468,0.656476267,0.020969856,0
2.11625E-4,3.257412448,0.310437912,0.651649236,0.021625164,0
2.3365E-4,3.502683741,0.336603711,0.647224457,0.023591088,0
2.54641E-4,3.775434597,0.360616725,0.642799678,0.027522936,0
2.67289E-4,4.009794051,0.374663982,0.639179405,0.028833552,0
2.71809E-4,4.252537377,0.379609311,0.635559131,0.030799476,0
2.80967E-4,4.503043738,0.38950766,0.631938858,0.0327654,0
2.91336E-4,4.761208112,0.400525488,0.628318584,0.035386632,0
3.02652E-4,5.029867604,0.412322813,0.624698311,0.03604194,0
3.12381E-4,5.274871568,0.422279955,0.62148029,0.038007864,0
3.26236E-4,5.500233529,0.436169439,0.618664521,0.039973788,0
3.35667E-4,5.765107724,0.44543176,0.6154465,0.043905636,0
3.49395E-4,6.005619079,0.458643278,0.612630732,0.04587156,0
3.58452E-4,6.252897839,0.467186798,0.609814964,0.048492792,0
3.65952E-4,6.506998684,0.474159727,0.606999195,0.049803408,0
3.71929E-4,6.76642873,0.479651603,0.604183427,0.054390564,0
3.76836E-4,7.028226279,0.484116365,0.601367659,0.057011796,0
3.95676E-4,7.263628429,0.500908233,0.598954143,0.059633028,0
4.08374E-4,7.505681775,0.511916433,0.596540628,0.06225426,0
4.15847E-4,7.75367595,0.518280572,0.594127112,0.066186107,0
4.23831E-4,8.049552397,0.524988466,0.591311344,0.070773263,0
4.24428E-4,8.261527441,0.525486178,0.58930008,0.074049803,0
4.38612E-4,8.564921071,0.537161865,0.586484312,0.076671035,0
4.49571E-4,8.786754256,0.545985323,0.584473049,0.079292267,0
4.52896E-4,9.147795135,0.548629155,0.581255028,0.083879423,0
4.54711E-4,9.283964744,0.550066213,0.58004827,0.085190039,0
4.61357E-4,9.55833209,0.555287876,0.577634755,0.088466579,0
4.67713E-4,9.791015513,0.560224332,0.575623492,0.091087811,0
4.69977E-4,10.025543357,0.561969988,0.573612228,0.094364351,0
4.74791E-4,10.262158398,0.56565818,0.571600965,0.095674967,0
4.80841E-4,10.596511986,0.570248787,0.568785197,0.099606815,0
4.83138E-4,10.789580618,0.571979559,0.566773934,0.101572739,0
4.95939E-4,11.033964382,0.581495225,0.565164924,0.104849279,0
4.96655E-4,11.331885572,0.582020987,0.562349155,0.106159895,0
5.00413E-4,11.681281456,0.584770876,0.55993564,0.112712975,0
5.02229E-4,11.781557607,0.586093474,0.559131134,0.114023591,0
5.09862E-4,12.034368533,0.591605395,0.557119871,0.115989515,0
5.14712E-4,12.290782439,0.595069336,0.555108608,0.118610747,0
5.22813E-4,12.550881423,0.600790581,0.553097345,0.121887287,0
5.26141E-4,12.760613104,0.603117284,0.551488335,0.123853211,0
5.29375E-4,13.024251086,0.605364764,0.549477072,0.127129751,0
5.32198E-4,13.289747467,0.607317042,0.547465809,0.129750983,0
5.36029E-4,13.77131591,0.609950485,0.543845535,0.134338139,0
5.43183E-4,14.040917442,0.614820458,0.541834272,0.136304063,0
5.44714E-4,14.258597149,0.615855266,0.540225261,0.138269987,0
5.47334E-4,14.586740237,0.617619131,0.537811746,0.141546527,0
5.49217E-4,14.75124496,0.618881686,0.536604988,0.143512451,0
5.52707E-4,15.02652986,0.621210416,0.534593725,0.146788991,0
5.57215E-4,15.304837018,0.624197598,0.532582462,0.149410223,0
5.59052E-4,15.639948814,0.625408391,0.530168946,0.152686763,0
5.59794E-4,15.751906594,0.625896364,0.529364441,0.153997379,0
5.59794E-4,16.087783108,0.625896364,0.526548673,0.153997379,0
5.60871E-4,16.25586092,0.626602942,0.525744167,0.158584535,0
5.64473E-4,16.593873192,0.628958176,0.523330652,0.162516383,0
5.65711E-4,16.763371868,0.629764209,0.522123894,0.164482307,0
5.67084E-4,17.04657011,0.630655527,0.520112631,0.167758847,0
5.67632E-4,17.330199307,0.631011126,0.518101368,0.171035387,0
5.69716E-4,17.500762903,0.632359304,0.51689461,0.173001311,0
5.7107E-4,17.785780177,0.633232346,0.514883347,0.176277851,0
5.72286E-4,18.014540023,0.634014862,0.513274336,0.178899083,0
5.75435E-4,18.301376816,0.636033706,0.511263073,0.181520315,0
5.75785E-4,18.589230766,0.636257602,0.50925181,0.184796855,0
5.76216E-4,18.877166474,0.636532299,0.507240547,0.188073394,0
5.77603E-4,19.339103392,0.637416841,0.504022526,0.193315858,0
5.78152E-4,19.570199472,0.637766723,0.502413516,0.19593709,0
5.79646E-4,19.859557553,0.63871602,0.500402253,0.19921363,0
5.80476E-4,20.033567916,0.639241784,0.499195495,0.201179554,0
5.82767E-4,20.26645912,0.640690706,0.497586484,0.203800786,0
5.84018E-4,20.558286792,0.641479581,0.495575221,0.207077326,0
5.85562E-4,20.792096159,0.642450453,0.493966211,0.209698558,0
5.86572E-4,21.026458487,0.643084057,0.4923572,0.21231979,0
5.86748E-4,21.319762057,0.64319415,0.490345937,0.21559633,0
5.88618E-4,21.672466083,0.644364528,0.487932422,0.219528178,0
5.89172E-4,21.790266684,0.644710389,0.487127916,0.220183486,0
5.90022E-4,22.026155123,0.645240283,0.485518906,0.222804718,0
5.92375E-4,22.262785606,0.646703279,0.483909895,0.22542595,0
5.92576E-4,22.559042462,0.646828386,0.481898632,0.22870249,0
5.93003E-4,22.855464654,0.647093054,0.479887369,0.23197903,0
5.93071E-4,23.092685471,0.647135298,0.478278359,0.233944954,0
5.93392E-4,23.270638925,0.647333703,0.477071601,0.235910878,0
5.95492E-4,23.865905626,0.648632468,0.473049075,0.242463958,0
5.95493E-4,24.163651785,0.648632646,0.471037812,0.245740498,0
5.96044E-4,24.521002436,0.648972656,0.468624296,0.249672346,0
5.96651E-4,24.759556026,0.649347104,0.467015286,0.252293578,0
5.97716E-4,25.058105062,0.650002035,0.465004023,0.255570118,0
5.99038E-4,25.417396034,0.650814148,0.462590507,0.259501966,0
5.99448E-4,25.597151315,0.65106532,0.461383749,0.26146789,0
5.99796E-4,25.957021599,0.651278621,0.458970233,0.265399738,0
